Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
84	:	1625178468.940	    38.129	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 3
111	:	1625178478.240	    29.151	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 3
89	:	1625178470.736	    36.990	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 4 8
178	:	1625178504.471	     3.607	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 16
151	:	1625178491.544	    16.831	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 16
152	:	1625178493.957	    14.862	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 17
165	:	1625178499.973	     9.053	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 3
174	:	1625178503.164	     6.352	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 12
155	:	1625178496.663	    13.009	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 20
185	:	1625178506.705	     3.504	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 23
147	:	1625178490.236	    20.087	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 12
179	:	1625178504.669	     6.228	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 17
158	:	1625178497.811	    13.160	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 23
171	:	1625178501.933	     9.656	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 9
181	:	1625178505.343	     6.287	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 19
182	:	1625178505.765	     6.514	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 20
28	:	1625178455.702	    56.584	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 1
186	:	1625178507.073	     5.870	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 24
129	:	1625178484.128	    28.841	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 21
73	:	1625178465.195	    48.398	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 19
187	:	1625178507.394	     6.270	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 25
64	:	1625178462.847	    51.400	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 10
189	:	1625178508.081	     6.273	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 27
199	:	1625178511.593	     3.515	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 10
192	:	1625178509.030	     6.088	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 3
209	:	1625178515.111	     0.651	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 20
201	:	1625178512.283	     3.526	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 12
148	:	1625178490.688	    25.739	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 13
203	:	1625178512.946	     3.552	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 14
126	:	1625178483.229	    33.855	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 1 18
197	:	1625178510.899	     6.282	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 8
180	:	1625178505.122	    12.615	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 18
208	:	1625178514.448	     3.417	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 19
170	:	1625178501.735	    16.655	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 8
202	:	1625178512.482	     6.080	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 13
175	:	1625178503.362	    15.713	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 13
211	:	1625178515.765	     3.485	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 22
196	:	1625178510.410	     9.324	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 7
205	:	1625178513.596	     6.345	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 16
177	:	1625178504.014	    16.378	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 15
216	:	1625178517.287	     3.351	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 27
157	:	1625178497.342	    23.703	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 22
210	:	1625178515.310	     6.013	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 21
219	:	1625178518.392	     3.342	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 3
204	:	1625178513.145	     8.861	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 4 15
45	:	1625178459.074	    63.310	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 2 18
222	:	1625178519.277	     3.429	0	18	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 6
72	:	1625178464.997	    58.039	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 1 3 18
173	:	1625178502.607	    20.791	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 3 11
161	:	1625178498.665	    25.018	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 2 2 26
226	:	1625178520.641	     3.460	0	19	1	0	srun --export=all --exclusive -N1 -n1 python3 curtailment_scaling.py 3 1 10
