Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
210	:	1625202087.974	     0.707	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 21 10
211	:	1625202088.172	     0.546	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 1
214	:	1625202088.766	     0.443	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 4
213	:	1625202088.568	     0.676	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 3
215	:	1625202088.964	     0.631	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 5
217	:	1625202089.359	     0.625	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 7
219	:	1625202089.756	     0.437	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 9
218	:	1625202089.557	     0.700	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 8
221	:	1625202090.152	     0.466	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 1
222	:	1625202090.350	     0.416	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 2
223	:	1625202090.548	     0.426	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 3
212	:	1625202088.370	     2.855	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 2
224	:	1625202090.745	     0.510	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 4
216	:	1625202089.162	     2.137	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 6
220	:	1625202089.954	     1.367	0	28	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 22 10
225	:	1625202090.944	     0.565	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 5
226	:	1625202091.142	     0.521	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 6
227	:	1625202091.340	     0.427	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 7
228	:	1625202091.538	     0.433	0	27	0	0	srun --export=all --exclusive -N1 -n1 python3 realization_flows.py 23 8
